Chicago,3 Hr,Daily,PRISM
Precipitation,16171.913,16171.913,14537.617
Evap,1313.478,342.819,649.932
Infiltration,4188.949,4675.936,3986.26
Runoff,10683.384,11145.368,9903.664
TOTAL,-13.8979999999992,7.79000000000087,-2.2390000000014
Continuity Error,-0.086,-0.009,-0.015
,,,
California,3 Hr,Daily,PRISM
Precipitation,59.245,59.245,51.258
Evap,2.697,2.223,1.886
Infiltration,20.742,23.932,20.269
Runoff,35.674,32.916,28.927
TOTAL,0.131999999999998,0.174000000000007,0.176000000000002
Continuity Error,-0.022,-0.006,-0.007
